Date,Visitor,G,Home,G,,Att.,LOG,Notes
2016-11-17,Edmonton Oilers,2,Los Angeles Kings,4,,18230,2:29,
2016-11-17,Boston Bruins,0,Minnesota Wild,1,,18774,2:33,
2016-11-17,Nashville Predators,5,Ottawa Senators,1,,15480,2:27,
2016-11-17,Winnipeg Jets,2,Philadelphia Flyers,5,,19432,2:26,
2016-11-17,San Jose Sharks,2,St. Louis Blues,3,,17618,2:28,
2016-11-17,Florida Panthers,1,Toronto Maple Leafs,6,,18931,2:33,
2016-11-17,Arizona Coyotes,2,Vancouver Canucks,3,OT,18027,2:56,
2016-11-18,Montreal Canadiens,2,Carolina Hurricanes,3,,12101,2:27,
2016-11-18,New York Rangers,2,Columbus Blue Jackets,4,,14541,2:27,
2016-11-18,Chicago Blackhawks,3,Calgary Flames,2,,18691,2:31,
2016-11-18,Pittsburgh Penguins,3,New York Islanders,2,OT,13365,2:28,
2016-11-18,Detroit Red Wings,0,Washington Capitals,1,,18506,2:27,
2016-11-19,San Jose Sharks,2,Arizona Coyotes,3,OT,13148,2:38,
2016-11-19,Winnipeg Jets,1,Boston Bruins,4,,17565,2:21,
2016-11-19,Pittsburgh Penguins,1,Buffalo Sabres,2,SO,18817,2:49,
2016-11-19,Edmonton Oilers,5,Dallas Stars,2,,18352,2:28,
2016-11-19,New Jersey Devils,2,Los Angeles Kings,4,,18230,2:25,
2016-11-19,Colorado Avalanche,3,Minnesota Wild,2,,19238,2:43,
2016-11-19,Toronto Maple Leafs,1,Montreal Canadiens,2,,21288,2:30,
2016-11-19,Florida Panthers,4,Ottawa Senators,1,,14132,2:25,
2016-11-19,Tampa Bay Lightning,3,Philadelphia Flyers,0,,19732,2:25,
2016-11-19,Nashville Predators,1,St. Louis Blues,3,,18922,2:29,
2016-11-19,Chicago Blackhawks,4,Vancouver Canucks,3,OT,18865,2:31,
2016-11-20,Los Angeles Kings,3,Anaheim Ducks,2,,16611,2:38,
2016-11-20,Winnipeg Jets,1,Carolina Hurricanes,3,,10809,2:30,
2016-11-20,Calgary Flames,3,Detroit Red Wings,2,,20027,2:26,
2016-11-20,Florida Panthers,3,New York Rangers,2,SO,18006,2:49,
2016-11-20,Columbus Blue Jackets,3,Washington Capitals,2,,18506,2:29,
2016-11-21,Calgary Flames,2,Buffalo Sabres,4,,17526,2:29,
2016-11-21,Colorado Avalanche,3,Columbus Blue Jackets,2,OT,10063,2:35,
